epoch,lr_backbone,lr_head,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1
1,5.004574565416286e-06,5.004574565416286e-05,1.8005541192209187,0.25182982616651417,0.3330157217722725,0.25195478229855517,0.26036448312231397
2,1e-05,0.0001,1.340270933980584,0.43755718206770355,0.5512148642210577,0.513690072180937,0.5218974834817351
3,9.97758601673677e-06,9.97758601673677e-05,1.2446381020524147,0.46025846294602013,0.6107670319199618,0.5860454958361496,0.5951493514157616
4,9.910547051450399e-06,9.910547051450398e-05,1.2095940215589798,0.47872827081427266,0.6260123868508813,0.6016174741528719,0.6107167132577829
5,9.799490219391763e-06,9.799490219391762e-05,1.1069694951053943,0.5301349496797805,0.6665078608861362,0.6474123591966547,0.6557341479576502
6,9.64542126842956e-06,9.64542126842956e-05,0.9903757881376576,0.5701052150045746,0.7041448308718438,0.6884993018167259,0.6970862966732332
7,9.449735470841872e-06,9.449735470841871e-05,0.9018276846692416,0.593092406221409,0.7336827060505002,0.7198812111577133,0.7278701232928887
8,9.214204987514347e-06,9.214204987514347e-05,0.8362568554972032,0.6273444647758463,0.7455931395902811,0.731646625233215,0.7394183101958137
9,8.9409628189768e-06,8.9409628189768e-05,0.7880705349072337,0.6523330283623056,0.7632205812291567,0.7513165291711427,0.7581672883309237
10,8.632483488620098e-06,8.632483488620098e-05,0.7308815649258141,0.6557639524245197,0.7756074321105288,0.7661119916978778,0.7720792929581585
11,8.291560633029163e-06,8.291560633029161e-05,0.6908130042888871,0.6891010978957,0.7851357789423535,0.7760396520122177,0.781635188596985
12,7.921281702377433e-06,7.921281702377432e-05,0.6793419328830925,0.6880146386093321,0.7965697951405432,0.7887443501096376,0.7938095104525056
13,7.525e-06,7.525e-05,0.6566589834050967,0.7106015553522416,0.8027632205812292,0.7955839310035004,0.8000539282529341
14,7.106304314359339e-06,7.106304314359339e-05,0.6195098357743772,0.7278133577310155,0.808480228680324,0.802052327382038,0.806264732763752
15,6.6689864184212385e-06,6.668986418421237e-05,0.5883653374407559,0.7246111619396157,0.8122915674130539,0.8061316147239653,0.8102674260881095
16,6.217006730771666e-06,6.217006730771666e-05,0.5629066640182252,0.7362763037511436,0.81467365412101,0.8083519151600382,0.8124930421351122
17,5.754458449452762e-06,5.754458449452762e-05,0.5571091377942363,0.7418229643183898,0.8161029061457837,0.8102271787817198,0.8143020182652583
18,5.285530483327526e-06,5.2855304833275255e-05,0.5393642657057255,0.7477698993595608,0.8161029061457837,0.8101382455416315,0.8141734260936341
19,4.814469516672477e-06,4.814469516672476e-05,0.5538729849967625,0.7449107959743825,0.8184849928537399,0.8124731990452897,0.8164915815548576
20,4.3455415505472395e-06,4.345541550547239e-05,0.5228427838728391,0.7628087831655993,0.8222963315864698,0.8164127849737275,0.8204271392493434
21,3.882993269228335e-06,3.882993269228334e-05,0.5008584869393273,0.7578339432753889,0.8256312529776084,0.8199750582363764,0.8239407429522007
22,3.431013581578763e-06,3.431013581578763e-05,0.5250780476497491,0.7622941445562672,0.827060505002382,0.8215599785352931,0.8254837678618011
23,2.993695685640663e-06,2.993695685640663e-05,0.5072491063454341,0.7547461116193962,0.8299190090519295,0.8243157279251518,0.8283632446744524
24,2.575000000000001e-06,2.5750000000000013e-05,0.49299078699872784,0.7667543458371455,0.828966174368747,0.823864336022249,0.8275467671776805
25,2.17871829762257e-06,2.1787182976225697e-05,0.4898539160575108,0.7759034766697164,0.8303954263935207,0.8251362150827151,0.8288255039558314
26,1.8084393669708395e-06,1.8084393669708392e-05,0.48315200964900623,0.7855672461116194,0.8332539304430682,0.8282128603589198,0.8318292041032553
27,1.4675165113799027e-06,1.4675165113799028e-05,0.4771481603656683,0.78733989021043,0.8332539304430682,0.828149403662195,0.8318680831411776
28,1.1590371810232031e-06,1.159037181023203e-05,0.4655392971861177,0.7912282708142726,0.8332539304430682,0.8279740148116016,0.831832972913693
29,8.857950124856525e-07,8.857950124856524e-06,0.48573088096514383,0.7888838060384263,0.8318246784182944,0.8265095939611937,0.830278821508303
30,6.502645291581294e-07,6.5026452915812944e-06,0.44943371202459276,0.7824222323879232,0.8323010957598856,0.8272666926960852,0.8308888782414487
31,4.5457873157044084e-07,4.545787315704408e-06,0.4639906259790431,0.7923147301006405,0.8303954263935207,0.8253922899541081,0.8289328953583057
32,3.0050978060823856e-07,3.0050978060823855e-06,0.4744455220223782,0.7592063129002745,0.8318246784182944,0.8266285931136281,0.8303276220296515
