epoch,lr,train_loss,train_ep_acc,val_ep_acc
1,0.0002926609246184583,1.349069321155548,0.5082443039490673,0.6867499832063914
2,0.00027136209830652333,1.2942636895179749,0.5535622582018918,0.7054999839514494
3,0.00023818839858125631,1.2518721196055411,0.5835835999847551,0.7242499820888042
4,0.00019638709830652336,1.2354280468821526,0.6005847168228705,0.7249999802559615
5,0.00015005,1.2268995767831803,0.6051693730208849,0.7347499817609787
6,0.00010371290169347664,1.2643298092484474,0.580454022829642,0.7289999797940254
7,6.191160141874366e-05,1.1299225795269012,0.6734670751534405,0.7747499801218509
8,2.8737901693476642e-05,1.129655777812004,0.672884859490545,0.7832499779760838
9,7.4390753815417276e-06,1.0761119771003722,0.7131248838837075,0.7884999766945839
10,0.0003,1.1016762608289719,0.6986716818220647,0.7802499778568744
11,0.00029815386667224087,1.093341125547886,0.701868326491148,0.8092499770224094
12,0.0002926609246184583,1.056795755326748,0.7328137730262254,0.8009999796748162
13,0.0002836564283020457,1.0343801081180573,0.742039019371004,0.8384999781847
14,0.00027136209830652333,0.9992231100797653,0.7643966430849991,0.8364999748766422
15,0.00025608066183892275,0.9602758184075355,0.7871330771821385,0.8402499780058861
16,0.00023818839858125631,0.9570974317193032,0.7961673692195264,0.8417499773204327
17,0.000218125875435945,0.9268603241443634,0.8092207010948246,0.8429999738931656
18,0.00019638709830652336,0.9117570474743844,0.8193715413235698,0.8347499765455723
19,0.00017350734803278262,0.8989135247468948,0.8279106631365356,0.8434999786317349
20,0.00015005,0.9005301186442375,0.825174164356602,0.8529999770224095
21,0.0001265926519672174,0.9018944802880288,0.8249969951306018,0.852749977260828
22,0.00010371290169347664,0.888752113878727,0.8325434435425666,0.8699999742209912
23,8.197412456405496e-05,0.8646108043193818,0.8440632716900874,0.8702499724924564
24,6.191160141874366e-05,0.8900974833965302,0.8270071495583801,0.8534999758005142
25,4.4019338161077204e-05,0.865398242175579,0.8476346147240844,0.857749979197979
26,2.8737901693476642e-05,0.8227501380443573,0.8695906302283557,0.8734999746084213
27,1.6443571697954248e-05,0.8498703557252884,0.8547121512718094,0.8724999777972698
28,7.4390753815417276e-06,0.8308459380269051,0.8645674789438317,0.8607499741017819
29,1.9461333277591077e-06,0.8594011509418488,0.8474866898783013,0.8712499774992466
30,5e-06,0.8392387071251869,0.8618400312256352,0.8732499770820141
31,5e-06,0.8232478347420692,0.8718376706893131,0.8754999741911889
32,5e-06,0.8487532716989518,0.8523506629638044,0.8647499784827233
33,5e-06,0.8460055249929428,0.8516265848621696,0.8632499776780606
34,5e-06,0.8632596251368523,0.8466699839914733,0.8824999734759331
35,5e-06,0.838965545296669,0.857246304409459,0.8759999781847
36,5e-06,0.8475946208834648,0.8522605057400499,0.8682499758899211
37,5e-06,0.8284360581636429,0.8672035793117397,0.8839999757707119
38,5e-06,0.8593866157531739,0.8502565541466671,0.860749976336956
39,5e-06,0.8781672960519791,0.8327066562484728,0.8759999796748161
40,5e-06,0.8682402488589287,0.8410012353114655,0.872749975323677
41,5e-06,0.8552818477153779,0.849360496602274,0.8709999710321427
42,5e-06,0.8528257998824119,0.8509903040987082,0.8654999732971191
43,5e-06,0.8431080862879753,0.8547362143745719,0.8702499754726887
44,5e-06,0.8535252773761749,0.8491065521894393,0.8747499734163284
45,5e-06,0.8556510958075524,0.8484130153078057,0.8734999768435955
46,5e-06,0.8299904614686966,0.8641710620121111,0.8712499767541886
47,5e-06,0.8388979282975196,0.8611972428411805,0.8722499728202819
48,5e-06,0.8370265743136406,0.8587553345218292,0.8614999748766422
49,5e-06,0.8278884759545326,0.8637226524595022,0.8847499787807465
50,5e-06,0.8463795217871666,0.854976627265528,0.8789999775588513
51,5e-06,0.8490669828653336,0.8526334165843124,0.8677499741315842
52,5e-06,0.8389621171355247,0.8582219708257921,0.8814999744296074
53,5e-06,0.8501011756062508,0.8532065509465632,0.8644999742507935
54,5e-06,0.8319135820865631,0.8649481698341063,0.8879999779164791
55,5e-06,0.8314121910929679,0.8584050162966332,0.8744999766349792
56,5e-06,0.8379634976387024,0.85828024602321,0.8742499761283398
57,5e-06,0.8494286265969276,0.85513643363754,0.878999974578619
58,5e-06,0.8710299411416054,0.8398047320507152,0.8662499770522117
59,5e-06,0.8514087665081024,0.8514243065530168,0.8747499763965607
60,5e-06,0.8334371230006218,0.8605652283792732,0.8807499751448631
